name,brandName,ratingScore,price,processor,ram,memory,displaySize,gen
toshiba tecra a40c,Toshiba,0.0,65000.0,i5,8gb,256gb,"14""",6th
asus vivobook 15,ASUS,0.0,110000.0,i5,8gb,512gb,"15.6""",511th
asus vivobook 14,ASUS,0.0,104663.0,i5,8gb,512ssd,,11th
asus rog zephyrus,ASUS,0.0,344000.0,ryzen,6gb,512gb,"15.6""",
lenovo ip1 ryzen5,Lenovo,0.0,62990.0,ryzen,8gb,256gb,"15.6""",
dell inspiron g15,Dell,0.0,193900.0,i7,6gb,512ssd,,
dell inspiron 15,Dell,0.0,92900.0,i5,4gb,1tb,"15.6""",
"macbook pro 16""",Apple,0.0,419000.0,other,6gb,1tb,"16""",
dell lnspirion 15,Dell,0.0,172000.0,i7,6gb,512gb,"15.6""",
dell lnspirion 15,Dell,0.0,169000.0,other,6gb,512gb,"15.6""",16th
hp laptop 15,HP,0.0,94000.0,i5,8gb,1tb,"15.6""",
dell vostro 3500,Dell,0.0,99900.0,i5,8gb,256gb,"15.6""",
dell lnspiron 15,Dell,0.0,90000.0,amd,8gb,512gb,,
"hp laptop 15.6""",HP,0.0,65000.0,intel,6gb,256gb,"15.6""",
dell inspiron 14,Dell,0.0,123900.0,amd,8gb,512gb,"14""",
dell inspiron 3511,Dell,0.0,77900.0,i5,8 gb,256 gb,,11 gen
dell xps 13,Dell,0.0,240000.0,intel,8gb,256gb,13.3,11th
acer swift 3,Acer,0.0,85800.0,intel,8gb,512gb,,11th
lenovo ideapad 3,Lenovo IdeaPad,0.0,63500.0,amd,8gb,256 gb,,
dell lnspirion15 3501,Dell,0.0,85000.0,i5,4gb,1tb,,
dell inspiron 165625/amd,Dell,0.0,150000.0,amd,6gb,1tb,"16""",
hp victus 15,HP,4.0,180000.0,i7,6gb,512ssd,,12th
hp laptop 15,HP,0.0,65000.0,i3,4gb,256gb,"15.6""",
dell inspiron 13,Dell,0.0,121000.0,i5,8gb,512gb,"13.3""",
asus vivobook flip,ASUS,0.0,120000.0,i5,8gb,512gb,"14""",11th
dell vostro 3510,Dell,0.0,75900.0,i3,8gb,256gb,,
lenovo ideapad 1,Lenovo,0.0,35000.0,intel,4gb,256gb,"15.6""",
dell vostro 3510,Dell,0.0,80000.0,intel,8gb,256gb,"15.6""",11th
dell vostro 3400,Dell,4.0,74999.0,intel,8gb,256gb,14',11th
laptop acer swift,Acer,0.0,131418.0,i7,8gb,256gb,"14""",11th
hp gaming laptop,HP,0.0,230000.0,intel,6gb,512 gb,,
dell g5 g5510,Dell,0.0,180000.0,i7,6gb,512gb,"15.6""",10th
dell xps 179720i712700h@2.69,Dell,0.0,325000.0,i7,2gb,1tb,2.69,
acer extensa 15,Acer,0.0,64600.0,intel,8gb,512gb,,11th
inspiron 13 5310,Dell,0.0,149900.0,i7,8gb,512gb,"13.3""",
laptop hp pavilion,HP,0.0,99990.0,i5,8gb,256gb,"14 """,
msi ge76 raider,MSI,0.0,350000.0,i7,2gb,2tb,"17.3""",10th
asus rog zephyrus,ASUS,0.0,377000.0,ryzen,6gb,1tb,"15.6""",
"macbook pro 16""",Apple,0.0,380000.0,other,6gb,512gb,"16""",
"thinkpad t14 14""",Lenovo,0.0,217000.0,intel,,,"14""",
dell lnspiron 15,Dell,0.0,106000.0,i5,8gb,256gb,"15.6""",
hp laptop 14sdq2555tu,HP,0.0,102000.0,i5,2gb,512gb,,
dell vostro 3510,Dell,0.0,86900.0,i5,4gb,1tb,"15.6""",
dell latitude 3420,Dell,0.0,93000.0,i5,8gb,128 gb,,11th
dell inspiron 5510,Dell,0.0,125999.0,i7,8gb,512gb,15.6',11th
hp laptop 15,HP,0.0,107000.0,i5,8gb,512gb,"15.6""",
hp spectre x360,HP,0.0,320000.0,i7,6gb,1tb,"13.5""",
hp notebook 15s,HP,0.0,94000.0,intel,8gb,512gb,"15.6""",511th
dell vostro 3400,No Brand,0.0,54500.0,i3,4gb,256gb,"14""",11th
"hp 14 dq2053,",HP,0.0,63000.0,intel,8gb,,,11th
dell lnspiron 15,Dell,0.0,112000.0,i5,8gb,512gb,"15.6""",
hp laptop 15,HP,0.0,106000.0,ryzen,8gb,512gb,"15.6""",
lenovo legion 5,Lenovo,0.0,128490.0,ryzen,8gb,512gb,,
"asus e410ma laptop/14.0""",ASUS,0.0,37000.0,intel,4gb,256gb,"14.0""",
asus tuf gaming,ASUS,0.0,172000.0,i7,6gb,512gb,"15.6""",711th
victus hp laptop,HP,0.0,190000.0,i7,6 gb,512 gb,,
2021 asus rog,ASUS,0.0,240000.0,m1,6gb,512gb,"16""",
dell g55510 gaming,Dell,5.0,115000.0,intel,8gb,256gb,15.6,510th
redmibook 15 pro,No Brand,0.0,89999.0,intel,8gb,512gb,,11th
lenovo v15 laptop/,Lenovo,0.0,49000.0,other,4gb,1tb,"15.6""",
acer aspire 5,Acer,0.0,95500.0,i7,8gb,512gb,"15.6""",11th
